element_type,osmid,geometry,addr:city,addr:country,addr:housenumber,addr:postcode,addr:street,addr:suburb,surveillance,wheelchair,source,name,source:addr,wikimedia_commons,amenity,nodes,building,building:colour,height,operator,roof:shape,start_date,blind:description:de,building:levels,government,heritage,heritage:operator,lda:criteria,name:da,name:de,name:en,name:es,name:fr,name:nl,name:no,office,old_name,old_name:de,old_name:en,phone,ref:lda,website,wikidata,wikipedia,year_of_construction,addr:housename,building:material,description,heritage:website,operator:short,operator:wikidata,roof:colour,roof:levels,roof:material,image,country,diplomatic,embassy,name:be,name:ru,opening_hours,contact:website,alt_name,building:use,check_date:opening_hours,opening_hours:signed,contact:phone,short_name,layer,wheelchair:description,ref:bufa,toilets:wheelchair,building:name,member_of,research_institution,name_1,name:fa,target,brand:wikidata,note,name:uk,liaison,url,name:lo,official_name,name:ar,building:min_level,addr:inclusion,fee,tourism,architect,building:architecture,name:it,name:ja,name:pl,name:sv,description:de,smoking,police,architect:wikidata,architect:wikipedia,name:etymology:wikidata,ways,type,building:part,contact:email,contact:fax,contact:website:de,contact:website:en,name:cy,name:ga,name:gd,short_name:en,short_name:ru,fixme,loc_name,museum,email,historic_name:de,historic_name:en,building:parts,air_conditioning,contact:tripadvisor,internet_access,name:cs,name:el,name:fi,name:he,name:is,name:ko,name:lt,name:pt,name:ro,name:sk,name:zh,ref:vatin,reservation,toilets
way,11351098,"POLYGON ((13.3770388 52.5204883, 13.3770559 52.5204883, 13.3770559 52.5203434, 13.3770388 52.5203434, 13.3770388 52.5204883))",,,,,,,,,,,,,,"[100976080, 100976081, 100976082, 100976083, 100976080]",government,white,18,Deutscher Bundestag,flat,2003-12-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,11688785,"POLYGON ((13.3803864 52.5096526, 13.3804319 52.5096553, 13.380792 52.5096768, 13.3807974 52.5096428, 13.3808017 52.5096159, 13.3808055 52.5095926, 13.3807891 52.5095916, 13.3808274 52.5093539, 13.3810826 52.5093691, 13.3810813 52.5093769, 13.3811242 52.5093795, 13.381121 52.509399, 13.3812376 52.5094059, 13.3812366 52.5094118, 13.3812698 52.5094138, 13.3813031 52.5094158, 13.381304 52.50941, 13.3814164 52.5094167, 13.3814195 52.5093975, 13.3814644 52.5094002, 13.3814656 52.5093927, 13.3817213 52.509408, 13.3816825 52.5096486, 13.3816618 52.5096473, 13.3816543 52.5096939, 13.3816482 52.5097318, 13.3818465 52.5097436, 13.3820155 52.5097532, 13.3820626 52.5097565, 13.3820637 52.50975, 13.3820926 52.5095706, 13.3820451 52.5095667, 13.3818566 52.5095565, 13.3818729 52.5094554, 13.3820589 52.5094654, 13.3821091 52.5094686, 13.3821309 52.5093414, 13.3820802 52.5093383, 13.3820419 52.509336, 13.3820437 52.5093249, 13.3819067 52.5093167, 13.3819122 52.5092828, 13.3817147 52.5092711, 13.381729 52.5091823, 13.3818422 52.509189, 13.3818628 52.5090608, 13.3818778 52.5089678, 13.3817616 52.5089609, 13.3817771 52.5088645, 13.3813922 52.5088415, 13.3813231 52.5088374, 13.3809376 52.5088144, 13.3809368 52.5088195, 13.3808419 52.5088138, 13.3808267 52.5089083, 13.3808207 52.508908, 13.3807854 52.5091271, 13.3808957 52.5091337, 13.380891 52.5091629, 13.3808818 52.5092205, 13.3806812 52.5092086, 13.3806756 52.5092435, 13.3805417 52.5092355, 13.3805394 52.50925, 13.3804961 52.5092474, 13.3804503 52.5092447, 13.3804303 52.509369, 13.3804752 52.5093717, 13.3806656 52.5093831, 13.3806494 52.5094836, 13.3804607 52.5094724, 13.3804158 52.5094697, 13.3803864 52.5096526))",Berlin,DE,3-4,10117,Leipziger Straße,Mitte,,yes,,Bundesrat,,,,"[104559526, 2152503670, 2268007123, 104559527, 4150930852, 2268007120, 2268007119, 104559528, 2268007103, 2268007108, 2268007109, 2268007112, 2268007114, 2268007116, 2857650669, 2268007117, 2268007115, 2268007118, 2268007111, 2268007113, 2268007110, 104559529, 2268007122, 2268007121, 104559530, 2268007124, 2152503675, 9023399235, 2268007125, 104559531, 883510896, 9023399234, 885425077, 885424644, 9023399233, 2684187308, 2268007096, 9023399232, 2268007080, 2268007073, 104559533, 2268007059, 2268007052, 2268007024, 2268007026, 4150930672, 104559534, 104559536, 104559538, 293606514, 293606623, 2268006996, 2268006998, 104559541, 2268007001, 104559542, 2268007012, 2268007018, 4150930679, 2268007027, 104559544, 2268007038, 2268007032, 2268007045, 4150930682, 104559545, 885423983, 4150930790, 885423987, 885423990, 4150930804, 885423995, 104559526]",government,,,,,1949-09-07,"Im Bundesratsgebäude gibt es Führungen für Blinde und Sehgeschädigte, siehe http://www.absv.de/freizeit/bundesratsgebaeude.htm .",4,legislative,4,lda,Baudenkmal,Forbundsrådet,Bundesrat,Federal Council,Consejo Federal,Conseil fédéral,Bondsraad,Forbundsrådet,government,Preußisches Herrenhaus,Preußisches Herrenhaus,Prussian House of Lords building,+49 30 1891000,09096003,http://www.bundesrat.de/,Q146138,de:Bundesrat (Deutschland),1899..1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,23463402,"POLYGON ((13.3165388 52.4916773, 13.3166317 52.4920137, 13.3166355 52.4920272, 13.3166997 52.4922599, 13.316713 52.4922591, 13.3167327 52.4923321, 13.3165918 52.4924983, 13.3163363 52.4925717, 13.3163011 52.4925819, 13.316303 52.4925843, 13.316396 52.4927002, 13.3164006 52.4927036, 13.3164284 52.4926955, 13.3164567 52.4926873, 13.3168467 52.4925728, 13.3168565 52.4925573, 13.3168758 52.4925627, 13.3169323 52.4924966, 13.3169837 52.4924341, 13.316967 52.4924286, 13.3169802 52.4924124, 13.3169302 52.4922293, 13.3169143 52.4922312, 13.3168234 52.4918915, 13.3167582 52.4916552, 13.3165388 52.4916773))",,,,,,,,,,,,,,"[4974967458, 2230073500, 2230073504, 5769665934, 5769665935, 254095874, 254095875, 6551029978, 6551047543, 254095877, 5769665947, 5769665946, 6551029976, 254095878, 254095879, 5769665936, 5769665937, 10072475913, 5769665938, 5769665939, 254095880, 5769665940, 5769665941, 1906534838, 116096042, 4974967458]",government,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24042259,"POLYGON ((13.4636612 52.4870938, 13.463744 52.4870394, 13.4637748 52.4870191, 13.4637867 52.487026, 13.4638161 52.4870262, 13.4638473 52.4870062, 13.4638481 52.4869875, 13.4638348 52.4869797, 13.4638471 52.4869716, 13.4637164 52.4869001, 13.46364 52.48695, 13.4636196 52.4869383, 13.4635824 52.4869626, 13.4636029 52.4869743, 13.4635329 52.48702, 13.4636612 52.4870938))",,,,,,,,,,Botschaft der Republik Belarus,,,,"[260738615, 515180242, 7959845506, 7959845503, 7959845502, 7959845501, 7959845504, 7959845505, 260738616, 260738617, 7959845499, 7959845498, 7959845497, 7959845500, 260738618, 260738615]",government,,,,,,,,,,,,,Botschaft der Republik Belarus,Embassy of the Republic of Belarus in FRG,,Ambassade de Biélorussie,,,diplomatic,,,,,,http://germany.mfa.gov.by/de/,Q22250207,de:Weißrussische Botschaft in Berlin,,,,,,,,,,,,BY,embassy,yes,Пасольства Рэспублікі Беларусь,Посольство Республики Беларусь,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24055663,"POLYGON ((13.3152565 52.4921954, 13.3152546 52.4921535, 13.3152636 52.4921534, 13.3152633 52.4921474, 13.3151765 52.4921489, 13.3151746 52.4921085, 13.3150409 52.4921107, 13.3150428 52.4921513, 13.3150269 52.4921516, 13.3150272 52.4921587, 13.3150363 52.4921586, 13.3150381 52.4921977, 13.3150307 52.4921978, 13.315031 52.4922055, 13.3150393 52.4922054, 13.315041 52.4922425, 13.3150331 52.4922426, 13.3150335 52.4922499, 13.3150422 52.4922497, 13.3150439 52.4922876, 13.3150364 52.4922877, 13.3150368 52.4922963, 13.3150452 52.4922962, 13.315047 52.4923346, 13.3150386 52.4923347, 13.3150389 52.4923423, 13.3150482 52.4923422, 13.3150499 52.4923786, 13.3150416 52.4923788, 13.3150419 52.4923869, 13.3150511 52.4923868, 13.3150528 52.4924249, 13.3150433 52.4924251, 13.3150437 52.4924337, 13.3150541 52.4924336, 13.3150559 52.4924723, 13.3150472 52.4924724, 13.3150475 52.4924796, 13.3150571 52.4924794, 13.3150588 52.4925162, 13.3150503 52.4925164, 13.3150506 52.4925234, 13.3150599 52.4925233, 13.3150617 52.4925619, 13.3150525 52.4925621, 13.3150529 52.492571, 13.3150072 52.4925718, 13.3150108 52.4926503, 13.3150186 52.4928211, 13.315343 52.4928156, 13.3153403 52.4927575, 13.3152982 52.4927583, 13.3152954 52.4926959, 13.3152847 52.4926961, 13.3152843 52.4926869, 13.3152785 52.4925608, 13.3152767 52.4925198, 13.3152834 52.4925196, 13.315283 52.4925118, 13.3152733 52.492512, 13.3152716 52.4924748, 13.3152806 52.4924747, 13.3152803 52.492467, 13.3152708 52.4924672, 13.315269 52.4924288, 13.315278 52.4924286, 13.3152776 52.4924203, 13.3152681 52.4924205, 13.3152663 52.4923816, 13.3152758 52.4923814, 13.3152755 52.4923747, 13.3152655 52.4923749, 13.3152638 52.4923369, 13.315273 52.4923368, 13.3152726 52.4923293, 13.3152629 52.4923294, 13.3152612 52.4922914, 13.3152707 52.4922912, 13.3152703 52.4922831, 13.3152603 52.4922833, 13.3152585 52.4922447, 13.3152875 52.4922442, 13.3152852 52.4921949, 13.3152565 52.4921954))",,,,,,,,yes,,Senatsverwaltung für Stadtentwicklung und Wohnen,,,,"[260939052, 5844433666, 5844433665, 5769675375, 5769675376, 116095988, 260939053, 5769675370, 5769675371, 5844433667, 5844433682, 5844433681, 5844433668, 5844433669, 5844433680, 5844433679, 5844433670, 5844433671, 5844433678, 5844433677, 5844433672, 5844433673, 5844433676, 5844433675, 5844433674, 5844433569, 5844433839, 5844433838, 5844433570, 5844433571, 5844433837, 5844433836, 5844433572, 5844433573, 5844433835, 5844433834, 5844433574, 5844433575, 5844433833, 5844433832, 5844433576, 5844433577, 5844433831, 5844433830, 5844433578, 1906599098, 5769675377, 1906599085, 260939054, 260939056, 5769675366, 5769675367, 5769675368, 5769675369, 260939058, 260939070, 5844433849, 5844433710, 5844433709, 5844433848, 5844433847, 5844433821, 5844433820, 5844433846, 5844433845, 5844433823, 5844433822, 5844433844, 5844433843, 5844433825, 5844433824, 5844433842, 5844433841, 5844433827, 5844433826, 5844433840, 5844433684, 5844433829, 5844433828, 5844433683, 5769675374, 5769675372, 5769675373, 260939052]",government,,62.5,,,1956,,,,,,,,,,,,,,government,,,,,09011542,,Q105046867,,,,,,,,,,,,,,,,,,"""nach Termin""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24055664,"POLYGON ((13.316303 52.4925843, 13.3161996 52.4926121, 13.3161848 52.4926093, 13.3161586 52.4925709, 13.3161623 52.4925703, 13.3161605 52.4925673, 13.3161564 52.4925679, 13.3160493 52.4920835, 13.3160465 52.4920102, 13.3158835 52.4920086, 13.3158814 52.4920892, 13.315921 52.4920896, 13.315987 52.4924, 13.3159042 52.4924067, 13.3159311 52.4925326, 13.3153439 52.4925635, 13.3153433 52.4925605, 13.3153379 52.4925603, 13.3153382 52.4925571, 13.3153313 52.4925573, 13.3153312 52.4925599, 13.3152785 52.4925608, 13.3152843 52.4926869, 13.3153582 52.4926846, 13.3153586 52.492694, 13.3158762 52.4926653, 13.3158744 52.4926426, 13.3159611 52.4926278, 13.3160866 52.4927914, 13.316396 52.4927002, 13.316303 52.4925843))",,,,,,,,,,,,,,"[254095877, 6551047544, 5769665948, 5844433708, 5844433707, 5844433706, 260939064, 5769665950, 116096050, 116095995, 260939065, 260939066, 260939067, 260939068, 260939069, 5769665943, 5844433701, 5844433702, 5844433703, 5844433704, 5844433705, 260939070, 260939058, 5769665944, 5769665945, 260939059, 260939060, 260939061, 260939063, 5769665947, 254095877]",government,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24271930,"POLYGON ((13.4184479 52.5222522, 13.4184066 52.5222694, 13.4183911 52.5222556, 13.4183584 52.5222691, 13.417981 52.5224252, 13.4182252 52.5226431, 13.418359 52.5225876, 13.4184202 52.5226422, 13.4182869 52.5226981, 13.4187153 52.5230803, 13.4188492 52.5230252, 13.4189107 52.5230801, 13.4187771 52.5231355, 13.4188863 52.5232329, 13.4188799 52.5232355, 13.4189273 52.5232778, 13.4188705 52.5233014, 13.4189052 52.5233324, 13.4187989 52.5233765, 13.4178112 52.5224953, 13.4177408 52.5225243, 13.4175803 52.5223804, 13.4177293 52.5223212, 13.4177111 52.5223051, 13.4178585 52.5222434, 13.4178768 52.5222596, 13.4181949 52.5221268, 13.4181994 52.5221312, 13.4182763 52.5220992, 13.4182526 52.5220785, 13.4184276 52.5220053, 13.4185266 52.5220928, 13.4185403 52.5221092, 13.4185153 52.5221075, 13.4185134 52.5221107, 13.4185022 52.522103, 13.4183514 52.5221662, 13.4184479 52.5222522))",,,,,,,,,,Haus der Statistik,,,,"[262806448, 677188183, 677188134, 9434848607, 262806449, 677188139, 677188142, 677188100, 677188071, 677188130, 677188109, 677188076, 677188177, 616466139, 9434848609, 262806450, 677188083, 677188113, 262806440, 3155771714, 262806442, 262806443, 9434848592, 9434848590, 9434848591, 9434848589, 677188107, 677188163, 677188091, 5901506380, 677188075, 5901506379, 5901506378, 9434848593, 9434848600, 9434848594, 9434848595, 262806448]",government,,,,flat,,,11,,,,,,,,,,,,,,,,,,,,de:Haus der Statistik,,,,,,,,,,,,,,,,,,https://hausderstatistik.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24736974,"POLYGON ((13.3644378 52.5140382, 13.3645288 52.5141418, 13.3640314 52.5143045, 13.3639403 52.5142009, 13.3644378 52.5140382))",,,,,,,,,Geoportal Berlin / ALKIS,,,,,"[268845818, 268845817, 268845816, 268845815, 268845818]",government,,,,gabled,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24736981,"POLYGON ((13.3643691 52.5144752, 13.3645513 52.5144233, 13.3646198 52.5145127, 13.3644376 52.5145647, 13.3643691 52.5144752))",,,,,,,,,Geoportal Berlin / ALKIS,,,,,"[268845875, 268845874, 268845873, 268845872, 268845875]",government,,,,flat,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24926736,"POLYGON ((13.3890091 52.4954222, 13.3885207 52.49487, 13.3885003 52.494876, 13.3884611 52.4948332, 13.3884134 52.4948485, 13.3883708 52.4948005, 13.3884184 52.4947852, 13.38838 52.4947412, 13.3884006 52.4947352, 13.3881096 52.4944205, 13.3880517 52.4944394, 13.388014 52.4943965, 13.3880701 52.4943782, 13.3878997 52.4941842, 13.3878852 52.494189, 13.3878441 52.4941422, 13.388049 52.4940751, 13.3880631 52.4940705, 13.3881072 52.4941206, 13.3880866 52.4941274, 13.3885729 52.4946765, 13.3885929 52.4946699, 13.3886373 52.4947194, 13.3886252 52.4947234, 13.388629 52.4947276, 13.3886206 52.4947304, 13.3886334 52.4947449, 13.3886462 52.4947594, 13.3886546 52.4947566, 13.3886583 52.4947608, 13.3886707 52.4947567, 13.3887148 52.4948064, 13.3886939 52.4948135, 13.3891808 52.4953623, 13.389201 52.4953556, 13.3892467 52.4954087, 13.3891678 52.4954346, 13.389166 52.4954326, 13.389106 52.4954523, 13.3891078 52.4954544, 13.3890327 52.4954791, 13.3889883 52.4954283, 13.3890091 52.4954222))",Berlin,,22,10961,Mehringdamm,,,,,Finanzamt Friedrichshain-Kreuzberg,,,,"[270878226, 992984104, 992984004, 992983964, 992983927, 992983951, 992983990, 992984070, 992983994, 2245931527, 2245931528, 2245931526, 2245931525, 992984168, 992984034, 270878227, 10221730623, 3949521983, 3949521984, 3949521985, 3949521987, 3949521986, 9893949651, 9893949657, 9893949655, 9893949654, 7059827485, 9893949653, 9893949656, 9893949652, 9893949658, 3949521988, 3949521989, 3949521991, 3949521990, 3949521992, 9893949661, 9893949660, 9893949659, 9893949662, 992983944, 992984218, 270878226]",government,,,,,,,,tax,,,,,,,,,,,government,,,,,,https://www.berlin.de/sen/finanzen/steuern/finanzaemter/friedrichshain-kreuzberg/,Q14378867,de:Garde-Dragoner-Kaserne,,,,,,,,,,,,,,,,,,,Garde-Dragoner-Kaserne,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,24934539,"POLYGON ((13.368497 52.5526248, 13.3684957 52.5526257, 13.3684295 52.5525874, 13.3685093 52.5525361, 13.3685711 52.5525725, 13.3686066 52.5525497, 13.3689576 52.5527531, 13.3688455 52.5528249, 13.3688443 52.5528257, 13.368497 52.5526248))",,,,,,,,,Geoportal Berlin / Hausumringe,,,,,"[3221938761, 3221938478, 3221938476, 3221934952, 3221934956, 3221937991, 3221938480, 3221938481, 3221934120, 3221938761]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25041668,"POLYGON ((13.5683505 52.5725631, 13.5684131 52.5725429, 13.5685108 52.5725114, 13.5680515 52.5719856, 13.5678917 52.5720372, 13.5679775 52.5721354, 13.567923 52.572153, 13.5680038 52.5722454, 13.5680573 52.5722282, 13.5682255 52.5724207, 13.5682069 52.5724267, 13.5681656 52.5723794, 13.5681339 52.5723896, 13.568217 52.5724847, 13.5682677 52.5724683, 13.5683505 52.5725631))",,,,,,,,,,,,,,"[272427895, 6271841740, 272427896, 272427897, 272427898, 1400033004, 1400033006, 1400033011, 1400033009, 1400033022, 5790196758, 5790196759, 1400033023, 1400033025, 1400033024, 272427895]",government,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,25945200,"POLYGON ((13.3811935 52.516102, 13.3811096 52.5160954, 13.3810867 52.5162205, 13.3815187 52.5162501, 13.381768 52.5162679, 13.3820225 52.5162861, 13.3822468 52.5163022, 13.3823802 52.5163117, 13.3824034 52.5161873, 13.3821193 52.5161703, 13.3821204 52.5161641, 13.3820384 52.5161585, 13.3820373 52.5161648, 13.3815469 52.5161295, 13.3815487 52.5161213, 13.381471 52.5161149, 13.3814691 52.5161231, 13.3814079 52.5161179, 13.3814245 52.5160458, 13.3814353 52.5160458, 13.3815055 52.5158797, 13.3815159 52.5158812, 13.3815338 52.5158353, 13.3815234 52.5158338, 13.3815553 52.5157519, 13.3813563 52.5157167, 13.3811935 52.516102))",,,,,,,,,,Matthias-Erzberger-Haus,,Category:Matthias-Erzberger-Haus,,"[283031018, 283031019, 283031020, 2076190682, 3289950958, 3289950957, 2076190686, 85882444, 283031023, 283031025, 9577102187, 9577102186, 283031027, 283031031, 9577102185, 9577102184, 283031033, 283031034, 9577102188, 9577102189, 9577102192, 9577102191, 9577102190, 9577102193, 283031015, 283031016, 283031018]",government,,,Deutscher Bundestag,,1961,,,,,,,,,,,,,,,Ministerium für Volksbildung der DDR,,,,,,Q50320132,de:Matthias-Erzberger-Haus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26211976,"POLYGON ((13.3776453 52.5301052, 13.3777032 52.5301224, 13.3778734 52.5299106, 13.3777751 52.5298813, 13.3778367 52.5298045, 13.3781156 52.5298874, 13.3781119 52.529892, 13.3781519 52.5299039, 13.3781545 52.5299006, 13.3784846 52.5299984, 13.3784803 52.5300037, 13.3785965 52.5300381, 13.3786118 52.530019, 13.3786294 52.5300242, 13.3786568 52.5299899, 13.3786381 52.5299843, 13.3786522 52.5299668, 13.3786436 52.5299642, 13.3787498 52.5298314, 13.3788804 52.529668, 13.3788898 52.5296708, 13.3789034 52.5296539, 13.37892 52.5296589, 13.3789517 52.5296193, 13.3789369 52.5296149, 13.3789529 52.5295949, 13.3789218 52.5295857, 13.3789311 52.5295742, 13.3788601 52.5295532, 13.3788528 52.5295623, 13.3788209 52.5295529, 13.3788167 52.5295582, 13.3784792 52.5294583, 13.3781454 52.5293595, 13.3781502 52.5293535, 13.3781189 52.5293442, 13.3781263 52.529335, 13.3780427 52.5293102, 13.3780348 52.5293202, 13.378 52.5293099, 13.3779842 52.5293295, 13.3779683 52.5293248, 13.377927 52.5293763, 13.3779424 52.5293809, 13.3779273 52.5293997, 13.3779367 52.5294025, 13.3777124 52.5296821, 13.3777064 52.5296803, 13.377693 52.529697, 13.377676 52.529692, 13.3776273 52.5297526, 13.3776449 52.5297578, 13.3776341 52.5297715, 13.3776554 52.5297792, 13.377431 52.5300586, 13.3774687 52.5300698, 13.377431 52.5301168, 13.3774359 52.5301183, 13.3775965 52.530166, 13.3776453 52.5301052))",,,,,,,,,,Bundesministerium für Digitales und Verkehr,,,,"[317461629, 317461628, 317461626, 317461624, 317461620, 2456242983, 2456242985, 2456242988, 2456242987, 2456243004, 2456243005, 287022707, 2456243008, 2456243010, 2456243000, 2456242997, 2456242991, 2456242990, 539513557, 2456242972, 2456242973, 2456242970, 2456242971, 2456242969, 2456242968, 287022704, 2456242967, 2456242966, 2456242963, 2456242965, 2456242962, 2456242964, 539513380, 2456242954, 2456242953, 2456242952, 2456242950, 287022705, 2456242948, 678980935, 2456242951, 2456242949, 2456242955, 2456242956, 2456242958, 2456242959, 2456242976, 2456242975, 2456242978, 2456242977, 678980979, 2456242980, 2456242981, 287022706, 317461636, 317461634, 2456243026, 317461632, 317461630, 317461629]",government,,,,flat,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26367508,"POLYGON ((13.3848706 52.5190347, 13.3847718 52.519029, 13.3847695 52.5190435, 13.3840874 52.5190041, 13.3840358 52.5193351, 13.3845001 52.5193619, 13.3847169 52.5193744, 13.3847148 52.519388, 13.3848146 52.5193937, 13.3848706 52.5190347))",Berlin,DE,14,10117,Reichstagufer,Mitte,,,,,,,,"[2378855473, 2378855472, 2378855474, 262523688, 262523693, 8240140595, 2378855485, 2378855486, 2378855487, 2378855473]",government,,,,flat,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26367510,"POLYGON ((13.3848311 52.5186608, 13.3841445 52.5186174, 13.3841599 52.5185144, 13.3848486 52.5185584, 13.3848311 52.5186608))",,,,,,,outdoor,,,,,,,"[2378855424, 262523687, 288881642, 2378855401, 2378855424]",government,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26367514,"POLYGON ((13.3829323 52.5187257, 13.3828785 52.5187222, 13.3828807 52.5187096, 13.3828318 52.5187064, 13.3828292 52.5187216, 13.3827436 52.5187161, 13.3827539 52.518657, 13.3827666 52.5186579, 13.3827712 52.5186315, 13.3827585 52.5186306, 13.3827693 52.5185692, 13.3828408 52.5185738, 13.38284 52.5185782, 13.3828874 52.5185813, 13.3828881 52.5185769, 13.382954 52.5185812, 13.3829609 52.5185382, 13.3829792 52.51844, 13.3829474 52.5184379, 13.3826892 52.5184209, 13.3826717 52.518521, 13.3826177 52.5188302, 13.3827687 52.51884, 13.3827694 52.5188364, 13.3829113 52.5188456, 13.3829323 52.5187257))",,,,,,,,,,,,,,"[2378855436, 2378855435, 2378855430, 2378855428, 2378855434, 288881656, 2378855422, 2378855423, 2378855419, 2378855418, 288881658, 2378855403, 2378855406, 2378855408, 2378855405, 288884817, 288881659, 288881662, 10889595203, 288881649, 288881650, 288881653, 2378855447, 2378855445, 288881654, 2378855436]",government,,,,,,,,,4,lda,Baudenkmal,,,,,,,,,,,,,09080403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26367516,"POLYGON ((13.3829609 52.5185382, 13.3835058 52.5185757, 13.3835241 52.5184775, 13.383471 52.5184738, 13.3833461 52.5184653, 13.3829792 52.51844, 13.3829609 52.5185382))",Berlin,DE,88,10117,Dorotheenstraße,Mitte,,yes,,Helene-Weber-Haus,,,,"[288881659, 288881665, 262523684, 10889616105, 10889595204, 288881662, 288881659]",government,,,Deutscher Bundestag,,,,7,parliament,,,,,,,,,,,government,,,,,,,,,,,,,,BT,Q154797,,,,,,,,,,,,,,2022-12-17,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,26367519,"POLYGON ((13.383498 52.5186207, 13.3835771 52.5186251, 13.3836037 52.5186141, 13.3836623 52.5186186, 13.3836887 52.5186336, 13.3837591 52.5186383, 13.3837872 52.5184907, 13.3836677 52.5184847, 13.3835241 52.5184775, 13.3835058 52.5185757, 13.383498 52.5186207))",,,,,,,,,,,,,,"[288881676, 288881678, 288881679, 288881680, 288881682, 288881683, 288881666, 10889616107, 262523684, 288881665, 288881676]",government,,,Presse- und Informationsamt der Bundesregierung,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
